X,Y
322,114.4438
323,113.4441
324,112.7422
325,112.6679
326,111.7750
327,111.9588
328,110.8121
329,110.0712
330,108.2157
331,106.5133
332,105.1464
333,103.8146
334,101.8885
335,99.5914
336,99.0378
337,99.0001
338,96.3357
339,95.4105
340,94.4440
341,91.6703
342,90.4443
343,89.4431
344,87.5578
345,86.1522
346,86.2972
347,85.7426
348,84.1885
349,81.0440
350,79.7833
351,80.2604
352,80.6311
353,79.7810
354,78.1900
355,75.9316
356,74.7803
357,72.8934
358,71.7796
359,71.0778
360,69.8211
361,68.4880
362,67.4500
363,66.7452
364,66.3719
365,64.5643
366,64.0385
367,64.0000
368,62.5230
369,60.2675
370,59.1137
371,58.4094
372,58.0349
373,57.1157
374,56.4100
375,55.7442
376,55.9602
377,55.1167
378,54.1179
379,53.9992
380,53.1189
381,52.9993
382,53.5845
383,52.4888
384,51.7451
385,50.7828
386,49.7836
387,49.3726
388,48.7447
389,47.7851
390,46.7854
391,46.3730
392,46.0397
393,45.7073
394,44.4944
395,44.6280
396,44.0808
397,42.8283
398,42.3763
399,41.7489
400,41.6678
401,40.7881
402,39.4942
403,39.3342
404,39.0413
405,38.1220
406,36.5353
407,36.0404
408,34.8295
409,34.6659
410,33.7892
411,33.0796
412,31.8291
413,31.0814
414,30.4158
415,30.0382
416,29.1222
417,28.7067
418,28.0818
419,27.1222
420,26.7058
421,26.0811
422,25.4165
423,25.6265
424,25.9580
425,25.7069
426,25.3746
427,24.7504
428,24.3749
429,24.3324
430,25.2058
431,25.6229
432,24.2108
433,24.0031
434,24.2929
435,25.4959
436,25.0814
437,25.5799
438,25.0826
439,25.2894
440,25.3322
441,24.4604
442,24.9167
443,25.5824
444,25.0836
445,24.4169
446,24.3314
447,24.6213
448,24.0863
449,24.2920
450,24.3326
451,23.4610
452,23.3351
453,23.3336
454,23.6230
455,23.6665
456,23.9571
457,23.7123
458,24.2478
459,24.0439
460,23.4214
461,24.2016
462,23.7508
463,23.3763
464,23.3315
465,23.3322
466,22.7550
467,22.6678
468,22.9567
469,23.2907
470,23.6214
471,23.6664
472,23.3761
473,23.3314
474,23.0426
475,22.9981
476,22.7102
477,23.2437
478,23.9100
479,23.4220
480,23.0451
481,23.0010
482,23.2911
483,23.3318
484,23.0422
485,23.2897
486,23.6234
487,23.9539
488,23.7108
489,23.9537
490,24.2867
491,24.0434
492,23.4225
493,23.6211
494,24.2428
495,23.7579
496,23.9554
497,24.2875
498,25.1984
499,25.0477
500,25.0013
501,25.0001
502,23.8490
503,24.2441
504,24.6216
505,25.5308
506,25.9538
507,26.5739
508,26.3785
509,26.0473
510,26.0021
511,26.2889
512,26.9080
513,27.2884
514,28.4838
515,29.2417
516,30.1940
517,30.3313
518,30.0457
519,30.5738
520,30.9529
521,31.5743
522,32.5274
523,32.6674
524,32.0935
525,33.1465
526,34.7671
527,35.8607
528,35.4262
529,35.3333
530,35.6219
531,36.2431
532,37.4823
533,37.9545
534,37.9984
535,37.1427
536,38.1437
537,38.6158
538,38.0906
539,37.1396
540,36.9972
541,37.0005
542,37.5734
543,37.9521
544,37.9990
545,37.4260
546,36.1890
547,35.7149
548,35.9518
549,36.2848
550,36.0465
551,35.9999
552,35.7134
553,35.9522
554,36.0000
555,37.1413
556,37.3323
557,36.7632
558,37.5221
559,37.6674
560,37.6677
561,37.0990
562,36.4345
563,36.9062
564,38.7100
565,39.2849
566,40.1875
567,40.6181
568,41.2365
569,42.4736
570,44.0917
571,45.4734
572,47.6598
573,51.9843
574,57.7886
575,64.9277
576,68.8452
577,68.1964
578,63.1670
579,55.2220
580,46.8901
581,38.8459
582,33.1214
583,30.6313
584,29.4815
585,28.1971
586,27.1480
587,27.2822
588,27.9000
589,28.2819
590,27.7654
591,27.3811
592,27.0467
593,26.9969
594,26.7150
595,25.8193
596,26.2370
597,26.6190
598,26.3827
599,26.8981
600,27.0006
601,27.5658
602,27.3824
603,26.2014
604,25.7188
605,25.6687
606,26.2330
607,26.8975
608,26.9988
609,26.1521
610,26.0019
611,25.7184
612,25.6677
613,25.9504
614,25.4358
615,26.1812
616,26.3333
617,26.3351
618,26.3345
619,25.4890
620,25.3329
621,25.3314
622,25.6144
623,26.2291
624,25.7688
625,25.9487
626,26.5649
627,25.8235
628,26.2292
629,26.8950
630,25.8741
631,25.9479
632,25.7172
633,25.6665
634,25.6649
635,25.3848
